name,family,level,strength_index,seed,observations,score,signal,visualization_quality,skewness,skew_score,outlier_rate,outlier_score,tail_asymmetry,tail_asymmetry_score
hist_bimodality_ordinary_seed_5,bimodality,ordinary,0,5,1000,41.28,9.66,100.0,-0.11170431993837163,0.0,0.008,0.0,0.09509725589257809,9.663697691266734
hist_skewness_weak_seed_5,skewness,weak,1,5,1000,45.01,15.41,100.0,0.5773731184710837,9.245770615702792,0.009,0.0,0.123260805569479,15.407600696184877
hist_outliers_weak_seed_5,symmetric_outliers,weak,1,5,1000,39.88,7.5,100.0,0.25477797027406984,0.0,0.015,7.499999999999999,0.000356744073396384,0.0
hist_combined_tail_weak_seed_5,combined_right_tail,weak,1,5,1000,46.1,17.08,100.0,1.837310863111976,32.356301525569606,0.019,13.499999999999998,0.13666281741068312,17.08285217633539
hist_bimodality_weak_seed_5,bimodality,weak,1,5,1000,35.0,0.0,100.0,-0.005075376529154219,0.0,0.003,0.0,0.0031580809055781495,0.0
hist_skewness_moderate_seed_5,skewness,moderate,2,5,1000,54.86,30.55,100.0,1.2454510254567916,22.738579163672863,0.024,18.0,0.24413388186800464,30.551184249067287
hist_outliers_moderate_seed_5,symmetric_outliers,moderate,2,5,1000,52.06,26.25,100.0,0.04615240317772609,0.0,0.035,26.250000000000004,0.0063945812943539794,0.0
hist_combined_tail_moderate_seed_5,combined_right_tail,moderate,2,5,1000,60.19,38.75,100.0,2.960216026262412,44.602160262624125,0.051,37.33333333333333,0.3056318348546499,38.75091131395332
hist_bimodality_moderate_seed_5,bimodality,moderate,2,5,1000,74.92,61.42,100.0,0.04741544453380489,0.0,0.0,0.0,0.099950779888281,10.703738547488785
hist_skewness_strong_seed_5,skewness,strong,3,5,1000,67.05,49.31,100.0,2.3003714502970753,38.00371450297075,0.05,36.666666666666664,0.38484802918912936,49.31307055855058
hist_outliers_strong_seed_5,symmetric_outliers,strong,3,5,1000,65.33,46.67,100.0,-0.22713098306881294,0.0,0.065,46.666666666666664,0.013802631088719297,0.0
hist_combined_tail_strong_seed_5,combined_right_tail,strong,3,5,1000,80.03,69.28,100.0,2.7018719545226064,42.01871954522606,0.091,60.49999999999999,0.5392311398589937,69.28207599059958
hist_bimodality_strong_seed_5,bimodality,strong,3,5,1000,84.61,76.32,100.0,0.06621077824334723,0.0,0.0,0.0,0.24261839602986737,30.349119470648983
hist_skewness_extreme_seed_5,skewness,extreme,4,5,1000,78.27,66.57,100.0,3.723749020795405,51.491660138636036,0.066,47.33333333333333,0.5096740973728109,66.57025963623535
hist_outliers_extreme_seed_5,symmetric_outliers,extreme,4,5,1000,77.59,65.52,100.0,-0.15760191046751607,0.0,0.102,65.52,0.00031034269597300955,0.0
hist_combined_tail_extreme_seed_5,combined_right_tail,extreme,4,5,1000,91.17,86.42,100.0,2.3219274063285416,38.21927406328542,0.134,73.84,0.8202994083872668,86.41596844732089
hist_bimodality_extreme_seed_5,bimodality,extreme,4,5,1000,87.0,80.0,100.0,0.07152789085099631,0.0,0.0,0.0,0.41460278968766284,53.406540110599465
hist_skewness_ordinary_seed_6,skewness,ordinary,0,6,1000,37.65,4.08,100.0,-0.09521485092287549,0.0,0.005,0.0,0.0690460582492687,4.081298196271863
hist_outliers_ordinary_seed_6,symmetric_outliers,ordinary,0,6,1000,37.65,4.08,100.0,-0.09521485092287513,0.0,0.005,0.0,0.06904605824926834,4.081298196271786
hist_combined_tail_ordinary_seed_6,combined_right_tail,ordinary,0,6,1000,37.65,4.08,100.0,-0.09521485092287549,0.0,0.005,0.0,0.0690460582492687,4.081298196271863
hist_bimodality_ordinary_seed_6,bimodality,ordinary,0,6,1000,35.36,0.56,100.0,-0.09095437080703782,0.0,0.005,0.0,0.052597043408923204,0.5565093019121146
hist_skewness_weak_seed_6,skewness,weak,1,6,1000,38.9,6.0,100.0,0.4789592061946195,5.965306873153985,0.014,6.0,0.05662149282189937,1.418891318978436
hist_outliers_weak_seed_6,symmetric_outliers,weak,1,6,1000,38.07,4.72,100.0,1.1900741528459646,21.80148305691929,0.013,4.499999999999999,0.07204107275124182,4.7230870181232465
hist_combined_tail_weak_seed_6,combined_right_tail,weak,1,6,1000,45.24,15.75,100.0,2.408545888529432,39.08545888529432,0.021,15.75,0.06023705983483226,2.193655678892627
hist_bimodality_weak_seed_6,bimodality,weak,1,6,1000,35.0,0.0,100.0,-0.014525894864798897,0.0,0.004,0.0,0.0007310471507525636,0.0
hist_skewness_moderate_seed_6,skewness,moderate,2,6,1000,49.61,22.48,100.0,1.13638548973868,20.727709794773602,0.023,17.25,0.1798158189738646,22.476977371733074
hist_outliers_moderate_seed_6,symmetric_outliers,moderate,2,6,1000,51.09,24.75,100.0,1.1487047149696228,20.974094299392455,0.033,24.75,0.07961503440595795,6.346078801276703
hist_combined_tail_moderate_seed_6,combined_right_tail,moderate,2,6,1000,57.53,34.67,100.0,3.309552188041659,48.09552188041659,0.047,34.666666666666664,0.22477879662354824,28.097349577943532
hist_bimodality_moderate_seed_6,bimodality,moderate,2,6,1000,68.6,51.69,100.0,-0.01782556086085394,0.0,0.0,0.0,0.0023409161635764824,0.0
hist_skewness_strong_seed_6,skewness,strong,3,6,1000,61.86,41.33,100.0,2.1989002094168946,36.989002094168946,0.037,27.75,0.3249559325405313,41.327457672070835
hist_outliers_strong_seed_6,symmetric_outliers,strong,3,6,1000,64.47,45.33,100.0,0.1091977373868579,0.0,0.063,45.33333333333333,0.07475731981779789,5.30513996095669
hist_combined_tail_strong_seed_6,combined_right_tail,strong,3,6,1000,72.14,57.14,100.0,2.9327034169262314,44.32703416926231,0.082,56.0,0.44154668916887285,57.13723388492085
hist_bimodality_strong_seed_6,bimodality,strong,3,6,1000,84.18,75.67,100.0,-0.034684523105051206,0.0,0.0,0.0,0.15295066828646994,19.118833535808744
hist_skewness_extreme_seed_6,skewness,extreme,4,6,1000,73.39,59.06,100.0,3.6701763700890426,51.134509133926954,0.056,40.666666666666664,0.45540157593527064,59.0556028218067
hist_outliers_extreme_seed_6,symmetric_outliers,extreme,4,6,1000,77.59,65.52,100.0,0.006206564041316579,0.0,0.102,65.52,0.076516887572704,5.6821901941508575
hist_combined_tail_extreme_seed_6,combined_right_tail,extreme,4,6,1000,90.37,85.19,100.0,2.4212555123799384,39.21255512379938,0.122,70.72,0.79723324456692,85.18577304356907
hist_bimodality_extreme_seed_6,bimodality,extreme,4,6,1000,86.97,79.95,100.0,-0.043410130816209785,0.0,0.0,0.0,0.3486361917756029,44.48482557008039
hist_skewness_ordinary_seed_7,skewness,ordinary,0,7,1000,35.0,0.0,100.0,0.0135955589765246,0.0,0.008,0.0,0.008976398151961466,0.0
hist_outliers_ordinary_seed_7,symmetric_outliers,ordinary,0,7,1000,35.0,0.0,100.0,0.01359555897652626,0.0,0.008,0.0,0.008976398151960514,0.0
hist_combined_tail_ordinary_seed_7,combined_right_tail,ordinary,0,7,1000,35.0,0.0,100.0,0.0135955589765246,0.0,0.008,0.0,0.008976398151961466,0.0
hist_bimodality_ordinary_seed_7,bimodality,ordinary,0,7,1000,35.0,0.0,100.0,0.07838828822543276,0.0,0.006,0.0,0.020196458993536535,0.0
hist_skewness_weak_seed_7,skewness,weak,1,7,1000,46.25,17.3,100.0,0.5688115959053958,8.960386530179859,0.017,10.500000000000002,0.11159185045739697,13.19825366944221
hist_outliers_weak_seed_7,symmetric_outliers,weak,1,7,1000,42.8,12.0,100.0,-0.46163995907022964,5.387998635674323,0.018,11.999999999999998,0.00714890695501418,0.0
hist_combined_tail_weak_seed_7,combined_right_tail,weak,1,7,1000,46.21,17.25,100.0,2.8016682264054555,43.01668226405455,0.023,17.25,0.13702042699798153,17.12755337474769
hist_bimodality_weak_seed_7,bimodality,weak,1,7,1000,35.0,0.0,100.0,0.058420433939850226,0.0,0.002,0.0,0.015988225400779647,0.0
hist_skewness_moderate_seed_7,skewness,moderate,2,7,1000,53.6,28.61,100.0,1.141870379642551,20.83740759285102,0.031,23.25,0.22887941457789843,28.609926822237306
hist_outliers_moderate_seed_7,symmetric_outliers,moderate,2,7,1000,51.58,25.5,100.0,-0.34978459535391065,1.6594865117970223,0.034,25.5,0.006514654100795135,0.0
